_id,document_id,task_id,prolific_id,activity_log,time_spent_outside,timestamp,study_id
66c60db607bfd712ba618570,66c60a2e07bfd712ba61856b,main_task_2,669ae5e29a9812603249dfa1,"{'buttonClicks': [], 'generatedContent': [], 'keyLogs': [{'key': 'Control', 'timestamp': '2024-08-21T15:39:38.105Z'}, {'key': 'a', 'timestamp': '2024-08-21T15:39:38.329Z'}, {'key': 'c', 'timestamp': '2024-08-21T15:39:38.697Z'}, {'key': 'Control', 'timestamp': '2024-08-21T15:46:59.649Z'}, {'key': 'a', 'timestamp': '2024-08-21T15:46:59.738Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T15:47:00.050Z'}, {'key': 'Control', 'timestamp': '2024-08-21T15:47:12.448Z'}, {'key': 'v', 'timestamp': '2024-08-21T15:47:12.677Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T15:47:15.142Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T15:47:15.706Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T15:47:15.857Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T15:47:22.124Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T15:47:22.609Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T15:48:27.771Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T15:48:27.924Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T15:48:28.087Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T15:48:28.223Z'}, {'key': 'Control', 'timestamp': '2024-08-21T15:49:01.941Z'}, {'key': 'v', 'timestamp': '2024-08-21T15:49:02.109Z'}, {'key': 'Control', 'timestamp': '2024-08-21T15:49:03.672Z'}, {'key': 'z', 'timestamp': '2024-08-21T15:49:03.809Z'}, {'key': 'Control', 'timestamp': '2024-08-21T15:49:05.632Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T15:49:05.675Z'}, {'key': 'V', 'timestamp': '2024-08-21T15:49:05.926Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T15:49:08.222Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T15:49:11.250Z'}, {'key': 'Control', 'timestamp': '2024-08-21T15:49:14.313Z'}, {'key': 'b', 'timestamp': '2024-08-21T15:49:14.628Z'}, {'key': 'Control', 'timestamp': '2024-08-21T15:49:21.145Z'}, {'key': 'a', 'timestamp': '2024-08-21T15:49:21.275Z'}, {'key': 'Control', 'timestamp': '2024-08-21T15:50:07.701Z'}, {'key': 'b', 'timestamp': '2024-08-21T15:50:07.957Z'}, {'key': 'i', 'timestamp': '2024-08-21T15:50:08.400Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T15:50:13.699Z'}, {'key': 'D', 'timestamp': '2024-08-21T15:50:13.809Z'}, {'key': 'o', 'timestamp': '2024-08-21T15:50:14.030Z'}, {'key': 'n', 'timestamp': '2024-08-21T15:50:14.344Z'}, {'key': 'a', 'timestamp': '2024-08-21T15:50:14.422Z'}, {'key': 't', 'timestamp': '2024-08-21T15:50:14.652Z'}, {'key': 'e', 'timestamp': '2024-08-21T15:50:14.737Z'}, {'key': ' ', 'timestamp': '2024-08-21T15:50:14.933Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T15:50:31.889Z'}, {'key': 'Control', 'timestamp': '2024-08-21T15:53:40.318Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T15:53:40.380Z'}, {'key': 'V', 'timestamp': '2024-08-21T15:53:40.673Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T15:53:44.089Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T15:53:44.373Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T15:53:44.934Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T15:53:52.117Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T15:53:52.248Z'}, {'key': 'S', 'timestamp': '2024-08-21T15:53:52.555Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T15:53:54.499Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T15:53:54.661Z'}, {'key': 'N', 'timestamp': '2024-08-21T15:53:54.878Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T15:53:58.912Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T15:53:59.109Z'}, {'key': 'P', 'timestamp': '2024-08-21T15:53:59.223Z'}, {'key': 'Control', 'timestamp': '2024-08-21T15:54:06.444Z'}, {'key': 'b', 'timestamp': '2024-08-21T15:54:06.733Z'}, {'key': 'Control', 'timestamp': '2024-08-21T15:54:09.338Z'}, {'key': 'b', 'timestamp': '2024-08-21T15:54:09.630Z'}, {'key': 'i', 'timestamp': '2024-08-21T15:54:10.098Z'}, {'key': 'Control', 'timestamp': '2024-08-21T15:54:26.419Z'}, {'key': 'c', 'timestamp': '2024-08-21T15:54:26.604Z'}], 'visibilityState': []}",677198,2024-08-21 15:54:30.005000+00:00,66c5e9afb11bf5c62a286fe8
66c6116507bfd712ba618575,66c610d107bfd712ba618574,main_task_1,669ae5e29a9812603249dfa1,"{'buttonClicks': [{'action': 'CREATE CONTINUATION', 'timestamp': '2024-08-21T16:08:57.696Z'}, {'action': 'CREATE VARIATION', 'timestamp': '2024-08-21T16:09:18.321Z'}, {'action': 'recipe_Gain_Anecdotal', 'timestamp': '2024-08-21T16:09:19.384Z'}, {'action': 'recipe_Loss_Anecdotal', 'timestamp': '2024-08-21T16:09:21.320Z'}, {'action': 'recipe_Gain_Statistics', 'timestamp': '2024-08-21T16:09:25.633Z'}], 'generatedContent': [{'feature': 'continuation', 'prompt': 'Can we save the world together?', 'response': 'Can we save the world together? yes we can definitely try', 'timestamp': '2024-08-21T16:08:58.172Z'}, {'feature': 'Positive Narrative Framing', 'prompt': 'What does it entail to save the world?', 'response': 'What does it entail to save the world? Just ask Maria, who single-handedly planted over 1,000 trees in her community and created a thriving butterfly sanctuary, proving that even small actions can have a profound impact on our planet.', 'timestamp': '2024-08-21T16:09:20.514Z'}, {'feature': 'Cautionary Narrative Framing', 'prompt': 'What does it entail to save the world? Just ask Maria, who single-handedly planted over 1,000 trees in her community and created a thriving butterfly sanctuary, proving that even small actions can have a profound impact on our planet.', 'response': ""What does it entail to save the world? Just ask Maria's neighbor, John, who watched in dismay as his community was ravaged by pollution and deforestation after decades of neglect, a stark reminder that inaction can have devastating consequences on our planet."", 'timestamp': '2024-08-21T16:09:22.501Z'}, {'feature': 'Positive Narrative Framing with Statistics', 'prompt': ""What does it entail to save the world? Just ask Maria's neighbor, John, who watched in dismay as his community was ravaged by pollution and deforestation after decades of neglect, a stark reminder that inaction can have devastating consequences on our planet."", 'response': ""What does it entail to save the world? Maria's neighbor, John, is proud to report that his community has seen a 90% reduction in pollution and a 75% reforestation rate after just two decades of concerted action, demonstrating that collective effort can have transformative effects on our planet."", 'timestamp': '2024-08-21T16:09:26.840Z'}], 'keyLogs': [{'key': 'Control', 'timestamp': '2024-08-21T16:07:48.356Z'}, {'key': 'a', 'timestamp': '2024-08-21T16:07:48.557Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:07:49.309Z'}, {'key': 'Meta', 'timestamp': '2024-08-21T16:07:52.081Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:08:02.351Z'}, {'key': 'v', 'timestamp': '2024-08-21T16:08:02.379Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:08:05.149Z'}, {'key': 'a', 'timestamp': '2024-08-21T16:08:05.364Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:08:08.643Z'}, {'key': 'c', 'timestamp': '2024-08-21T16:08:08.830Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:08:09.852Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:08:10.056Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:08:10.274Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T16:08:10.332Z'}, {'key': 'V', 'timestamp': '2024-08-21T16:08:10.652Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T16:08:12.877Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:08:16.365Z'}, {'key': 'b', 'timestamp': '2024-08-21T16:08:16.687Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:08:20.044Z'}, {'key': 'a', 'timestamp': '2024-08-21T16:08:20.160Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T16:08:22.107Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:08:23.161Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:08:24.188Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:08:24.362Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:08:24.740Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:08:25.007Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:08:25.167Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:08:25.310Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:08:25.569Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T16:08:25.887Z'}, {'key': 'D', 'timestamp': '2024-08-21T16:08:26.051Z'}, {'key': 'o', 'timestamp': '2024-08-21T16:08:26.242Z'}, {'key': 'n', 'timestamp': '2024-08-21T16:08:26.371Z'}, {'key': 'a', 'timestamp': '2024-08-21T16:08:26.428Z'}, {'key': 't', 'timestamp': '2024-08-21T16:08:26.594Z'}, {'key': 'e', 'timestamp': '2024-08-21T16:08:26.683Z'}, {'key': ' ', 'timestamp': '2024-08-21T16:08:26.796Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:08:30.312Z'}, {'key': 'a', 'timestamp': '2024-08-21T16:08:30.414Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T16:08:40.322Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T16:08:40.517Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:08:43.224Z'}, {'key': 'b', 'timestamp': '2024-08-21T16:08:43.711Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:08:44.597Z'}, {'key': 'i', 'timestamp': '2024-08-21T16:08:44.976Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T16:08:47.215Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T16:08:47.322Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T16:08:47.372Z'}, {'key': 'C', 'timestamp': '2024-08-21T16:08:47.501Z'}, {'key': 'a', 'timestamp': '2024-08-21T16:08:47.772Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:08:48.466Z'}, {'key': 'a', 'timestamp': '2024-08-21T16:08:49.065Z'}, {'key': 'n', 'timestamp': '2024-08-21T16:08:49.138Z'}, {'key': ' ', 'timestamp': '2024-08-21T16:08:49.246Z'}, {'key': 'w', 'timestamp': '2024-08-21T16:08:49.424Z'}, {'key': 'e', 'timestamp': '2024-08-21T16:08:49.552Z'}, {'key': ' ', 'timestamp': '2024-08-21T16:08:49.667Z'}, {'key': 's', 'timestamp': '2024-08-21T16:08:49.824Z'}, {'key': 'a', 'timestamp': '2024-08-21T16:08:49.981Z'}, {'key': 'v', 'timestamp': '2024-08-21T16:08:50.067Z'}, {'key': 'e', 'timestamp': '2024-08-21T16:08:50.202Z'}, {'key': ' ', 'timestamp': '2024-08-21T16:08:50.331Z'}, {'key': 't', 'timestamp': '2024-08-21T16:08:50.417Z'}, {'key': 'h', 'timestamp': '2024-08-21T16:08:50.500Z'}, {'key': 'e', 'timestamp': '2024-08-21T16:08:50.574Z'}, {'key': ' ', 'timestamp': '2024-08-21T16:08:50.622Z'}, {'key': 'w', 'timestamp': '2024-08-21T16:08:50.760Z'}, {'key': 'o', 'timestamp': '2024-08-21T16:08:50.901Z'}, {'key': 'r', 'timestamp': '2024-08-21T16:08:50.994Z'}, {'key': 'l', 'timestamp': '2024-08-21T16:08:51.566Z'}, {'key': 'd', 'timestamp': '2024-08-21T16:08:51.634Z'}, {'key': ' ', 'timestamp': '2024-08-21T16:08:51.747Z'}, {'key': 'o', 'timestamp': '2024-08-21T16:08:52.051Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:08:52.402Z'}, {'key': 't', 'timestamp': '2024-08-21T16:08:52.476Z'}, {'key': 'o', 'timestamp': '2024-08-21T16:08:52.609Z'}, {'key': 'g', 'timestamp': '2024-08-21T16:08:52.683Z'}, {'key': 'e', 'timestamp': '2024-08-21T16:08:52.946Z'}, {'key': 't', 'timestamp': '2024-08-21T16:08:53.980Z'}, {'key': 'h', 'timestamp': '2024-08-21T16:08:54.082Z'}, {'key': 'e', 'timestamp': '2024-08-21T16:08:54.136Z'}, {'key': 'r', 'timestamp': '2024-08-21T16:08:54.220Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T16:08:54.841Z'}, {'key': '?', 'timestamp': '2024-08-21T16:08:54.945Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T16:09:06.720Z'}, {'key': 'W', 'timestamp': '2024-08-21T16:09:06.948Z'}, {'key': 'h', 'timestamp': '2024-08-21T16:09:07.105Z'}, {'key': 'a', 'timestamp': '2024-08-21T16:09:07.242Z'}, {'key': 't', 'timestamp': '2024-08-21T16:09:07.372Z'}, {'key': ' ', 'timestamp': '2024-08-21T16:09:07.478Z'}, {'key': 'd', 'timestamp': '2024-08-21T16:09:07.562Z'}, {'key': 'o', 'timestamp': '2024-08-21T16:09:07.667Z'}, {'key': 'e', 'timestamp': '2024-08-21T16:09:07.740Z'}, {'key': 's', 'timestamp': '2024-08-21T16:09:07.918Z'}, {'key': ' ', 'timestamp': '2024-08-21T16:09:08.035Z'}, {'key': 'i', 'timestamp': '2024-08-21T16:09:08.206Z'}, {'key': 't', 'timestamp': '2024-08-21T16:09:08.292Z'}, {'key': ' ', 'timestamp': '2024-08-21T16:09:08.369Z'}, {'key': 'e', 'timestamp': '2024-08-21T16:09:08.814Z'}, {'key': 'n', 'timestamp': '2024-08-21T16:09:08.934Z'}, {'key': 't', 'timestamp': '2024-08-21T16:09:09.054Z'}, {'key': 'a', 'timestamp': '2024-08-21T16:09:09.258Z'}, {'key': 'i', 'timestamp': '2024-08-21T16:09:09.376Z'}, {'key': 'l', 'timestamp': '2024-08-21T16:09:09.515Z'}, {'key': ' ', 'timestamp': '2024-08-21T16:09:09.632Z'}, {'key': 't', 'timestamp': '2024-08-21T16:09:09.773Z'}, {'key': 'o', 'timestamp': '2024-08-21T16:09:09.829Z'}, {'key': ' ', 'timestamp': '2024-08-21T16:09:09.928Z'}, {'key': 's', 'timestamp': '2024-08-21T16:09:10.034Z'}, {'key': 'a', 'timestamp': '2024-08-21T16:09:10.204Z'}, {'key': 'v', 'timestamp': '2024-08-21T16:09:10.301Z'}, {'key': 'e', 'timestamp': '2024-08-21T16:09:10.427Z'}, {'key': ' ', 'timestamp': '2024-08-21T16:09:10.537Z'}, {'key': 't', 'timestamp': '2024-08-21T16:09:10.630Z'}, {'key': 'h', 'timestamp': '2024-08-21T16:09:10.694Z'}, {'key': 'e', 'timestamp': '2024-08-21T16:09:10.773Z'}, {'key': ' ', 'timestamp': '2024-08-21T16:09:10.812Z'}, {'key': 'w', 'timestamp': '2024-08-21T16:09:10.895Z'}, {'key': 'o', 'timestamp': '2024-08-21T16:09:11.038Z'}, {'key': 'r', 'timestamp': '2024-08-21T16:09:11.087Z'}, {'key': 'l', 'timestamp': '2024-08-21T16:09:11.246Z'}, {'key': 'd', 'timestamp': '2024-08-21T16:09:12.732Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T16:09:13.661Z'}, {'key': '?', 'timestamp': '2024-08-21T16:09:13.713Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T16:09:14.176Z'}, {'key': 'ArrowUp', 'timestamp': '2024-08-21T16:09:14.240Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T16:09:29.967Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T16:09:30.325Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T16:09:30.468Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:09:31.411Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:09:31.541Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:09:31.733Z'}, {'key': 'Escape', 'timestamp': '2024-08-21T16:09:34.215Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T16:09:37.589Z'}, {'key': 'Enter', 'timestamp': '2024-08-21T16:09:38.016Z'}, {'key': 'Meta', 'timestamp': '2024-08-21T16:09:42.355Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:09:50.668Z'}, {'key': 'v', 'timestamp': '2024-08-21T16:09:50.700Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:09:54.382Z'}, {'key': 'b', 'timestamp': '2024-08-21T16:09:55.257Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:09:56.272Z'}, {'key': 'i', 'timestamp': '2024-08-21T16:09:56.624Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:09:58.867Z'}, {'key': 'b', 'timestamp': '2024-08-21T16:09:59.204Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:10:01.778Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T16:10:01.916Z'}, {'key': 'S', 'timestamp': '2024-08-21T16:10:02.126Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:10:02.210Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:10:02.491Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:10:02.653Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:10:02.950Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:10:03.130Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:10:03.258Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:10:03.410Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:10:03.754Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T16:10:04.055Z'}, {'key': 'N', 'timestamp': '2024-08-21T16:10:04.245Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:10:04.693Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:10:04.865Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:10:05.039Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:10:05.190Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:10:05.340Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:10:05.490Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:10:05.643Z'}, {'key': 'ArrowRight', 'timestamp': '2024-08-21T16:10:05.995Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:10:06.338Z'}, {'key': 'Shift', 'timestamp': '2024-08-21T16:10:06.564Z'}, {'key': 'P', 'timestamp': '2024-08-21T16:10:06.749Z'}], 'visibilityState': []}",842,2024-08-21 16:10:13.902000+00:00,66c5e9afb11bf5c62a286fe8
66c6122607bfd712ba61857a,66c611ff07bfd712ba618579,main_task_2,669ae5e29a9812603249dfa1,"{'buttonClicks': [], 'generatedContent': [], 'keyLogs': [{'key': 'Control', 'timestamp': '2024-08-21T16:12:49.888Z'}, {'key': 'a', 'timestamp': '2024-08-21T16:12:50.022Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:12:50.766Z'}, {'key': 'Meta', 'timestamp': '2024-08-21T16:12:52.468Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:13:00.699Z'}, {'key': 'v', 'timestamp': '2024-08-21T16:13:00.728Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:13:02.308Z'}, {'key': 'a', 'timestamp': '2024-08-21T16:13:02.473Z'}, {'key': 'Backspace', 'timestamp': '2024-08-21T16:13:03.222Z'}, {'key': 'Meta', 'timestamp': '2024-08-21T16:13:05.258Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:13:09.915Z'}, {'key': 'v', 'timestamp': '2024-08-21T16:13:09.956Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:13:12.412Z'}, {'key': 'b', 'timestamp': '2024-08-21T16:13:12.676Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:13:14.549Z'}, {'key': 'b', 'timestamp': '2024-08-21T16:13:14.894Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:13:17.195Z'}, {'key': 'i', 'timestamp': '2024-08-21T16:13:17.397Z'}, {'key': 'Control', 'timestamp': '2024-08-21T16:13:20.110Z'}, {'key': 'a', 'timestamp': '2024-08-21T16:13:20.220Z'}], 'visibilityState': []}",0,2024-08-21 16:13:26.370000+00:00,66c5e9afb11bf5c62a286fe8
